entry_date,branch_name,time
1773330981,AcidBurn86,9.303
1772443939,l0gicnz-singlethread,9.412
1772245094,xHeaven,9.464
1772179398,glauberm,11.201
1772988246,MircoBabin (single thread),11.495
1772244594,armstrongsam25,11.50496308214
1772213100,marcosmarcolin,11.55153020832
1772371308,thegallagher,11.763
1772445851,alexandre-daubois (single thread),11.8969679092
1772290441,camilleislasse (single thread),11.95043675064
1773366863,Leamare single,12.839
1772444285,dylanbr,13.05834274928
1772246751,DavidBuchanan314-singlethread,13.58062350166
1772543742,kamil-tekiela,13.83039722674
1773223892,exussum12,13.896
1773223855,becastellani,14.254
1772179702,philo23,14.97412247392
1772384405,N-Silbernagel,15.95946528014
1772371246,manychois,17.70533124406
1772620116,aruneshvv (single thread),17.8358065843
1772180472,nicklasmoeller,19.28144065778
1772741244,amooij,20.56
1772223696,rodrigovr,22.9247449911
1772322701,vladimir-shilin,23.13275870364
1772179838,pooley182,23.4063363718
1772454595,ani2life,23.513
1772528948,mattnraines,24.925342056
1772322792,danscott1997,25.142863157
1772322656,roverwolf,25.48277474796
1772180306,murilomagalhaes,26.1051294713
1772187578,papoon,27.85673771288
1772472785,ChesterSA,28.02476678466
1772541072,ilanco,28.129
1772186661,AnthonySchuijlenburg,29.536
1773003960,fruestueck,29.54
1772528994,pchapl,29.60809633222
1772186603,TheSyscall,30.09696847464
1773095846,renq,30.376
1772395826,gordonmcvey,31.332
1773439772,soyuka-singlethread,31.742
1772550102,liubinas,34.5497164512
1772528908,mrbellek,35.44843818224
1773223948,kafaa-dev,35.559
1772531763,adevade,35.89177322276
1772457810,calebdw,35.99502325516
1773401167,realKfiros,36.097
1773095980,lastjnl,36.375
1772179894,CuylerE,36.8261754393
1772461693,nazlican3 (single thread),37.19032552626
1772289964,nazlican3,37.21538224456
1773224110,Goudenvis,37.531
1773068829,rahulbaruah,37.544
1772179652,NadavHR,37.57289992874
1772529302,MCMic,38.82231706202
1772179534,Frank-Hru,38.86922338868
1772503990,jacor84,39.57634215018
1773224407,dev-Marwan,40.129
1772544049,a454-dev,40.23882248662
1773095915,boloto1979,40.498
1772829804,alexsoft,41.693
1772392477,itxshakil,41.77086063634
1772199377,mike-polatoglou,42.54801659008
1772180871,brendt,42.711806425
1772289772,delabon,44.41589130832
1772444017,clement-gouin,46.1504454191
1772227072,inilim,46.45094508514
1772612488,kitrio,47.88864865166
1772189614,waqas-badar,48.32633618282
1772180532,juststeveking,48.46772616024
1772440308,velkuns-singlethread,52.32240499392
1773393185,driade,93.114
1773055382,SerheyDolgushev,164.5
1773439726,plt3,174.899
1772180251,lovasoa,260.27164222204
