rank,branch_name,checkpoint,time,reached_at
1,xHeaven,2.45,2.459,2026-03-12 09:54:52
2,AcidBurn86,2.47,2.472,2026-03-06 15:12:12
3,louisabraham,2.47,2.478,2026-03-11 10:20:40
